#step	time	mdot360	FmomInletX360	FpInletGaugeX360	FpWallX360	FshearWallX360	T_CFD360	T_ideal360	Cfg
234	0.000315719	0.118075	20.9936	72.7335	-0.0754759	-0.00667926	93.645	64.7735	1.44573
235	0.000317007	0.118077	20.9941	72.7333	-0.0752407	-0.00670166	93.6454	64.7742	1.44572
236	0.000318294	0.118078	20.9944	72.7332	-0.0750056	-0.00672404	93.6458	64.7748	1.44571
237	0.000319582	0.118078	20.9945	72.7331	-0.0747701	-0.00674641	93.6462	64.7752	1.44571
238	0.000320869	0.118079	20.9946	72.7332	-0.0745339	-0.00676878	93.6464	64.7753	1.44571
239	0.000322157	0.118079	20.9945	72.7333	-0.0742972	-0.00679116	93.6466	64.7753	1.44572
240	0.000323444	0.118078	20.9942	72.7334	-0.0740605	-0.00681354	93.6468	64.775	1.44572
241	0.000324732	0.118077	20.9939	72.7336	-0.0738241	-0.00683594	93.6468	64.7746	1.44573
242	0.00032602	0.118076	20.9934	72.7339	-0.0735883	-0.00685835	93.6469	64.774	1.44575
243	0.000327307	0.118075	20.9928	72.7342	-0.0733535	-0.00688077	93.6468	64.7732	1.44576
244	0.000328595	0.118073	20.9922	72.7346	-0.0731199	-0.0069032	93.6467	64.7723	1.44578
245	0.000329882	0.118071	20.9914	72.735	-0.072888	-0.00692563	93.6466	64.7713	1.4458
246	0.00033117	0.118069	20.9906	72.7355	-0.072658	-0.00694804	93.6464	64.7701	1.44583
247	0.000332457	0.118067	20.9896	72.736	-0.0724301	-0.00697045	93.6462	64.7688	1.44585
248	0.000333745	0.118064	20.9886	72.7365	-0.0722046	-0.00699284	93.646	64.7674	1.44588
249	0.000335032	0.118061	20.9875	72.7371	-0.0719814	-0.00701521	93.6457	64.7659	1.44591
250	0.00033632	0.118059	20.9864	72.7377	-0.0717606	-0.00703756	93.6453	64.7642	1.44594
251	0.000337607	0.118055	20.9852	72.7384	-0.0715423	-0.0070599	93.645	64.7625	1.44598
252	0.000338895	0.118052	20.984	72.739	-0.0713263	-0.00708224	93.6446	64.7607	1.44601
253	0.000340182	0.118049	20.9827	72.7397	-0.0711127	-0.00710458	93.6442	64.7589	1.44604
254	0.00034147	0.118045	20.9813	72.7405	-0.0709013	-0.00712693	93.6438	64.757	1.44608
255	0.000342757	0.118042	20.9799	72.7413	-0.0706921	-0.00714929	93.6433	64.7549	1.44612
256	0.000344045	0.118038	20.9783	72.7421	-0.070485	-0.00717166	93.6427	64.7527	1.44616
257	0.000345332	0.118033	20.9766	72.743	-0.07028	-0.00719405	93.6422	64.7503	1.4462
258	0.00034662	0.118029	20.9749	72.7439	-0.070077	-0.00721645	93.6415	64.7478	1.44625
259	0.000347907	0.118024	20.9731	72.7449	-0.0698759	-0.00723885	93.6409	64.7452	1.4463
260	0.000349195	0.118019	20.9712	72.7459	-0.0696767	-0.00726124	93.6402	64.7426	1.44635
261	0.000350482	0.118014	20.9693	72.7469	-0.0694793	-0.00728363	93.6395	64.7398	1.4464
262	0.00035177	0.118009	20.9674	72.7479	-0.0692838	-0.007306	93.6387	64.737	1.44645
263	0.000353057	0.118004	20.9655	72.7489	-0.06909	-0.00732835	93.638	64.7342	1.4465
264	0.000354345	0.117999	20.9636	72.7499	-0.0688978	-0.00735069	93.6373	64.7314	1.44655
265	0.000355632	0.117994	20.9618	72.7508	-0.0687074	-0.00737301	93.6365	64.7287	1.4466
266	0.00035692	0.117989	20.9599	72.7518	-0.0685186	-0.00739532	93.6358	64.7259	1.44665
